mae,rmse,mape,window,train_start,train_end,test_start,test_end,train_rows,test_rows
0.7300367544094721,1.6918788858100795,19.207299464485715,1,2013-01-01,2014-12-31,2015-01-01,2015-01-30,728,30
0.4918176526824633,0.9237652248983922,25.32600590262283,2,2013-01-01,2015-03-31,2015-04-01,2015-04-30,818,30
0.591570963896811,1.1774834394881029,15.94434275093112,3,2013-01-01,2015-06-29,2015-06-30,2015-07-29,908,30
0.7756433467380702,1.5352065065618479,23.85397985971794,4,2013-01-01,2015-09-27,2015-09-28,2015-10-27,998,30
1.3933591636518636,2.2517377539633148,23.696487165231616,5,2013-01-01,2015-12-26,2015-12-27,2016-01-25,1087,30
0.9228666024903457,1.7319541055282641,18.774218022431842,6,2013-01-01,2016-03-25,2016-03-26,2016-04-24,1177,30
1.145341188708941,2.0357678210496313,24.553498682276953,7,2013-01-01,2016-06-23,2016-06-24,2016-07-23,1267,30
0.7139965618650118,1.245739043210088,19.604385702568795,8,2013-01-01,2016-09-21,2016-09-22,2016-10-21,1357,30
1.1533891815563728,2.678742338822878,23.14694618553796,9,2013-01-01,2016-12-20,2016-12-21,2017-01-19,1447,29
1.2697920382022858,2.4059621506447644,23.808379123565267,10,2013-01-01,2017-03-20,2017-03-21,2017-04-19,1536,30
1.3304710427920023,2.779094362221506,36.68620282808109,11,2013-01-01,2017-06-18,2017-06-19,2017-07-18,1626,30
